Freq.,IV,fase
1.55596563160508e+000,4.01964018112305e+001,9.00025461258207e+001
1.57036280433356e+000,4.01164017959557e+001,9.00025696848374e+001
1.58489319246112e+000,4.00364017803969e+001,9.00025934618431e+001
1.59955802861468e+000,3.99564017645488e+001,9.00026174588548e+001
1.61435855682649e+000,3.98764017484061e+001,9.00026416779084e+001
1.62929603263973e+000,3.97964017319633e+001,9.00026661210582e+001
1.64437172321494e+000,3.97164017152148e+001,9.00026907903778e+001
1.65958690743757e+000,3.96364016981549e+001,9.00027156879600e+001
1.67494287602645e+000,3.95564016807779e+001,9.00027408159168e+001
1.69044093164327e+000,3.94764016630778e+001,9.00027661763799e+001
1.70608238900313e+000,3.93964016450486e+001,9.00027917715006e+001
1.72186857498602e+000,3.93164016266842e+001,9.00028176034502e+001
1.73780082874938e+000,3.92364016079784e+001,9.00028436744201e+001
1.75388050184177e+000,3.91564015889249e+001,9.00028699866219e+001
1.77010895831743e+000,3.90764015695171e+001,9.00028965422876e+001
1.78648757485206e+000,3.89964015497485e+001,9.00029233436701e+001
1.80301774085958e+000,3.89164015296123e+001,9.00029503930429e+001
1.81970085860999e+000,3.88364015091018e+001,9.00029776927007e+001
1.83653834334836e+000,3.87564014882100e+001,9.00030052449593e+001
1.85353162341482e+000,3.86764014669298e+001,9.00030330521560e+001
1.87068214036581e+000,3.85964014452540e+001,9.00030611166497e+001
1.88799134909630e+000,3.85164014231751e+001,9.00030894408212e+001
1.90546071796326e+000,3.84364014006858e+001,9.00031180270733e+001
1.92309172891017e+000,3.83564013777784e+001,9.00031468778309e+001
1.94088587759279e+000,3.82764013544451e+001,9.00031759955415e+001
1.95884467350600e+000,3.81964013306780e+001,9.00032053826752e+001
1.97696964011187e+000,3.81164013064691e+001,9.00032350417250e+001
1.99526231496889e+000,3.80364012818100e+001,9.00032649752068e+001
2.01372424986240e+000,3.79564012566925e+001,9.00032951856600e+001
2.03235701093623e+000,3.78764012311081e+001,9.00033256756474e+001
2.05116217882558e+000,3.77964012050480e+001,9.00033564477554e+001
2.07014134879106e+000,3.77164011785034e+001,9.00033875045945e+001
2.08929613085405e+000,3.76364011514653e+001,9.00034188487992e+001
2.10862814993330e+000,3.75564011239245e+001,9.00034504830287e+001
2.12813904598273e+000,3.74764010958717e+001,9.00034824099663e+001
2.14783047413055e+000,3.73964010672974e+001,9.00035146323206e+001
2.16770410481971e+000,3.73164010381918e+001,9.00035471528250e+001
2.18776162394957e+000,3.72364010085452e+001,9.00035799742383e+001
2.20800473301892e+000,3.71564009783473e+001,9.00036130993446e+001
2.22843514927032e+000,3.70764009475880e+001,9.00036465309542e+001
2.24905460583580e+000,3.69964009162569e+001,9.00036802719031e+001
2.26986485188384e+000,3.69164008843433e+001,9.00037143250534e+001
2.29086765276779e+000,3.68364008518363e+001,9.00037486932940e+001
2.31206479017561e+000,3.67564008187250e+001,9.00037833795405e+001
2.33345806228102e+000,3.66764007849982e+001,9.00038183867352e+001
2.35504928389603e+000,3.65964007506443e+001,9.00038537178480e+001
2.37684028662490e+000,3.65164007156517e+001,9.00038893758760e+001
2.39883291901951e+000,3.64364006800085e+001,9.00039253638440e+001
2.42102904673620e+000,3.63564006437027e+001,9.00039616848051e+001
2.44343055269399e+000,3.62764006067219e+001,9.00039983418403e+001
2.46603933723436e+000,3.61964005690536e+001,9.00040353380594e+001
2.48885731828241e+000,3.61164005306850e+001,9.00040726766008e+001
2.51188643150960e+000,3.60364004916030e+001,9.00041103606320e+001
2.53512863049793e+000,3.59564004517945e+001,9.00041483933498e+001
2.55858588690567e+000,3.58764004112459e+001,9.00041867779804e+001
2.58226019063462e+000,3.57964003699434e+001,9.00042255177803e+001
2.60615354999892e+000,3.57164003278731e+001,9.00042646160356e+001
2.63026799189541e+000,3.56364002850206e+001,9.00043040760633e+001
2.65460556197556e+000,3.55564002413714e+001,9.00043439012107e+001
2.67916832481906e+000,3.54764001969107e+001,9.00043840948562e+001
2.70395836410887e+000,3.53964001516234e+001,9.00044246604096e+001
2.72897778280807e+000,3.53164001054942e+001,9.00044656013121e+001
2.75422870333819e+000,3.52364000585074e+001,9.00045069210368e+001
2.77971326775932e+000,3.51564000106470e+001,9.00045486230889e+001
2.80543363795174e+000,3.50763999618968e+001,9.00045907110059e+001
2.83139199579941e+000,3.49963999122403e+001,9.00046331883585e+001
2.85759054337497e+000,3.49163998616606e+001,9.00046760587499e+001
2.88403150312663e+000,3.48363998101406e+001,9.00047193258169e+001
2.91071711806663e+000,3.47563997576627e+001,9.00047629932299e+001
2.93764965196156e+000,3.46763997042092e+001,9.00048070646933e+001
2.96483138952437e+000,3.45963996497619e+001,9.00048515439458e+001
2.99226463660822e+000,3.45163995943024e+001,9.00048964347606e+001
3.01995172040205e+000,3.44363995378118e+001,9.00049417409459e+001
3.04789498962802e+000,3.43563994802710e+001,9.00049874663450e+001
3.07609681474074e+000,3.42763994216604e+001,9.00050336148370e+001
3.10455958812839e+000,3.41963993619601e+001,9.00050801903367e+001
3.13328572431562e+000,3.41163993011500e+001,9.00051271967951e+001
3.16227766016841e+000,3.40363992392093e+001,9.00051746382000e+001
3.19153785510080e+000,3.39563991761170e+001,9.00052225185758e+001
3.22106879128347e+000,3.38763991118517e+001,9.00052708419843e+001
3.25087297385438e+000,3.37963990463917e+001,9.00053196125250e+001
3.28095293113123e+000,3.37163989797147e+001,9.00053688343350e+001
3.31131121482595e+000,3.36363989117980e+001,9.00054185115900e+001
3.34195040026118e+000,3.35563988426187e+001,9.00054686485041e+001
3.37287308658873e+000,3.34763987721533e+001,9.00055192493307e+001
3.40408189701005e+000,3.33963987003778e+001,9.00055703183622e+001
3.43557947899879e+000,3.33163986272679e+001,9.00056218599309e+001
3.46736850452536e+000,3.32363985527988e+001,9.00056738784092e+001
3.49945167028361e+000,3.31563984769452e+001,9.00057263782099e+001
3.53183169791961e+000,3.30763983996813e+001,9.00057793637867e+001
3.56451133426249e+000,3.29963983209811e+001,9.00058328396344e+001
3.59749335155747e+000,3.29163982408177e+001,9.00058868102896e+001
3.63078054770106e+000,3.28363981591639e+001,9.00059412803306e+001
3.66437574647838e+000,3.27563980759921e+001,9.00059962543782e+001
3.69828179780271e+000,3.26763979912740e+001,9.00060517370961e+001
3.73250157795725e+000,3.25963979049808e+001,9.00061077331909e+001
3.76703798983914e+000,3.25163978170834e+001,9.00061642474129e+001
3.80189396320566e+000,3.24363977275518e+001,9.00062212845563e+001
3.83707245492284e+000,3.23563976363557e+001,9.00062788494597e+001
3.87257644921622e+000,3.22763975434641e+001,9.00063369470065e+001
3.90840895792407e+000,3.21963974488456e+001,9.00063955821251e+001
3.94457302075284e+000,3.21163973524680e+001,9.00064547597898e+001
3.98107170553503e+000,3.20363972542985e+001,9.00065144850207e+001
4.01790810848945e+000,3.19563971543040e+001,9.00065747628844e+001
4.05508535448389e+000,3.18763970524504e+001,9.00066355984944e+001
4.09260659730016e+000,3.17963969487032e+001,9.00066969970116e+001
4.13047501990167e+000,3.17163968430272e+001,9.00067589636445e+001
4.16869383470341e+000,3.16363967353866e+001,9.00068215036500e+001
4.20726628384450e+000,3.15563966257448e+001,9.00068846223333e+001
4.24619563946319e+000,3.14763965140645e+001,9.00069483250491e+001
4.28548520397446e+000,3.13963964003080e+001,9.00070126172013e+001
4.32513831035015e+000,3.13163962844366e+001,9.00070775042442e+001
4.36515832240172e+000,3.12363961664110e+001,9.00071429916820e+001
4.40554863506560e+000,3.11563960461911e+001,9.00072090850704e+001
4.44631267469115e+000,3.10763959237361e+001,9.00072757900163e+001
4.48745389933139e+000,3.09963957990046e+001,9.00073431121782e+001
4.52897579903627e+000,3.09163956719541e+001,9.00074110572674e+001
4.57088189614882e+000,3.08363955425415e+001,9.00074796310478e+001
4.61317574560386e+000,3.07563954107230e+001,9.00075488393368e+001
4.65586093522966e+000,3.06763952764538e+001,9.00076186880054e+001
4.69894108605222e+000,3.05963951396884e+001,9.00076891829790e+001
4.74241985260252e+000,3.05163950003803e+001,9.00077603302380e+001
4.78630092322646e+000,3.04363948584823e+001,9.00078321358181e+001
4.83058802039780e+000,3.03563947139461e+001,9.00079046058105e+001
4.87528490103394e+000,3.02763945667229e+001,9.00079777463632e+001
4.92039535681459e+000,3.01963944167625e+001,9.00080515636810e+001
4.96592321450344e+000,3.01163942640142e+001,9.00081260640259e+001
5.01187233627280e+000,3.00363941084261e+001,9.00082012537180e+001
5.05824662003122e+000,2.99563939499454e+001,9.00082771391359e+001
5.10504999975414e+000,2.98763937885183e+001,9.00083537267171e+001
5.15228644581765e+000,2.97963936240900e+001,9.00084310229589e+001
5.19995996533524e+000,2.97163934566048e+001,9.00085090344185e+001
5.24807460249781e+000,2.96363932860058e+001,9.00085877677138e+001
5.29663443891666e+000,2.95563931122352e+001,9.00086672295242e+001
5.34564359396980e+000,2.94763929352338e+001,9.00087474265904e+001
5.39510622515136e+000,2.93963927549418e+001,9.00088283657160e+001
5.44502652842430e+000,2.93163925712979e+001,9.00089100537673e+001
5.49540873857634e+000,2.92363923842398e+001,9.00089924976740e+001
5.54625712957920e+000,2.91563921937041e+001,9.00090757044303e+001
5.59757601495120e+000,2.90763919996260e+001,9.00091596810949e+001
5.64936974812312e+000,2.89963918019397e+001,9.00092444347917e+001
5.70164272280757e+000,2.89163916005781e+001,9.00093299727107e+001
5.75439937337167e+000,2.88363913954730e+001,9.00094163021084e+001
5.80764417521322e+000,2.87563911865546e+001,9.00095034303085e+001
5.86138164514039e+000,2.86763909737522e+001,9.00095913647023e+001
5.91561634175484e+000,2.85963907569935e+001,9.00096801127496e+001
5.97035286583847e+000,2.85163905362049e+001,9.00097696819793e+001
6.02559586074368e+000,2.84363903113116e+001,9.00098600799898e+001
6.08135001278728e+000,2.83563900822371e+001,9.00099513144500e+001
6.13762005164805e+000,2.82763898489039e+001,9.00100433930997e+001
6.19441075076792e+000,2.81963896112326e+001,9.00101363237502e+001
6.25172692775697e+000,2.81163893691427e+001,9.00102301142852e+001
6.30957344480204e+000,2.80363891225521e+001,9.00103247726613e+001
6.36795520907927e+000,2.79563888713769e+001,9.00104203069089e+001
6.42687717317031e+000,2.78763886155320e+001,9.00105167251325e+001
6.48634433548250e+000,2.77963883549307e+001,9.00106140355116e+001
6.54636174067287e+000,2.77163880894843e+001,9.00107122463015e+001
6.60693448007608e+000,2.76363878191030e+001,9.00108113658339e+001
6.66806769213634e+000,2.75563875436949e+001,9.00109114025175e+001
6.72976656284330e+000,2.74763872631665e+001,9.00110123648388e+001
6.79203632617197e+000,2.73963869774228e+001,9.00111142613630e+001
6.85488226452674e+000,2.73163866863666e+001,9.00112171007344e+001
6.91830970918949e+000,2.72363863898993e+001,9.00113208916773e+001
6.98232404077185e+000,2.71563860879202e+001,9.00114256429970e+001
7.04693068967160e+000,2.70763857803270e+001,9.00115313635797e+001
7.11213513653343e+000,2.69963854670151e+001,9.00116380623945e+001
7.17794291271375e+000,2.69163851478783e+001,9.00117457484931e+001
7.24435960075004e+000,2.68363848228083e+001,9.00118544310109e+001
7.31139083483431e+000,2.67563844916948e+001,9.00119641191683e+001
7.37904230129115e+000,2.66763841544255e+001,9.00120748222704e+001
7.44731973906003e+000,2.65963838108858e+001,9.00121865497090e+001
7.51622894018220e+000,2.65163834609592e+001,9.00122993109623e+001
7.58577575029199e+000,2.64363831045270e+001,9.00124131155966e+001
7.65596606911271e+000,2.63563827414681e+001,9.00125279732666e+001
7.72680585095718e+000,2.62763823716596e+001,9.00126438937162e+001
7.79830110523274e+000,2.61963819949757e+001,9.00127608867796e+001
7.87045789695114e+000,2.61163816112887e+001,9.00128789623821e+001
7.94328234724298e+000,2.60363812204685e+001,9.00129981305407e+001
8.01678063387695e+000,2.59563808223824e+001,9.00131184013651e+001
8.09095899178399e+000,2.58763804168952e+001,9.00132397850587e+001
8.16582371358609e+000,2.57963800038695e+001,9.00133622919191e+001
8.24138115013019e+000,2.57163795831650e+001,9.00134859323395e+001
8.31763771102688e+000,2.56363791546390e+001,9.00136107168089e+001
8.39459986519415e+000,2.55563787181461e+001,9.00137366559136e+001
8.47227414140614e+000,2.54763782735382e+001,9.00138637603380e+001
8.55066712884701e+000,2.53963778206644e+001,9.00139920408651e+001
8.62978547766988e+000,2.53163773593710e+001,9.00141215083778e+001
8.70963589956099e+000,2.52363768895015e+001,9.00142521738597e+001
8.79022516830903e+000,2.51563764108964e+001,9.00143840483961e+001
8.87156012037980e+000,2.50763759233934e+001,9.00145171431748e+001
8.95364765549613e+000,2.49963754268270e+001,9.00146514694873e+001
9.03649473722321e+000,2.49163749210287e+001,9.00147870387294e+001
9.12010839355929e+000,2.48363744058269e+001,9.00149238624025e+001
9.20449571753191e+000,2.47563738810468e+001,9.00150619521143e+001
9.28966386779957e+000,2.46763733465102e+001,9.00152013195801e+001
9.37562006925901e+000,2.45963728020358e+001,9.00153419766234e+001
9.46237161365814e+000,2.45163722474388e+001,9.00154839351774e+001
9.54992586021457e+000,2.44363716825311e+001,9.00156272072855e+001
9.63829023623992e+000,2.43563711071209e+001,9.00157718051027e+001
9.72747223776987e+000,2.42763705210130e+001,9.00159177408963e+001
9.81747943020006e+000,2.41963699240085e+001,9.00160650270475e+001
9.90831944892790e+000,2.41163693159049e+001,9.00162136760516e+001
1.00000000000002e+001,2.40363686964956e+001,9.00163637005200e+001
1.00925288607671e+001,2.39563680655707e+001,9.00165151131805e+001
1.01859138805414e+001,2.38763674229160e+001,9.00166679268789e+001
1.02801629812650e+001,2.37963667683133e+001,9.00168221545796e+001
1.03752841581804e+001,2.37163661015407e+001,9.00169778093673e+001
1.04712854805092e+001,2.36363654223717e+001,9.00171349044477e+001
1.05681750921368e+001,2.35563647305760e+001,9.00172934531486e+001
1.06659612123028e+001,2.34763640259189e+001,9.00174534689214e+001
1.07646521362986e+001,2.33963633081611e+001,9.00176149653416e+001
1.08642562361709e+001,2.33163625770591e+001,9.00177779561108e+001
1.09647819614321e+001,2.32363618323649e+001,9.00179424550570e+001
1.10662378397769e+001,2.31563610738257e+001,9.00181084761365e+001
1.11686324778059e+001,2.30763603011841e+001,9.00182760334346e+001
1.12719745617554e+001,2.29963595141780e+001,9.00184451411670e+001
1.13762728582346e+001,2.29163587125403e+001,9.00186158136809e+001
1.14815362149691e+001,2.28363578959989e+001,9.00187880654565e+001
1.15877735615515e+001,2.27563570642769e+001,9.00189619111078e+001
1.16949939101990e+001,2.26763562170919e+001,9.00191373653842e+001
1.18032063565176e+001,2.25963553541564e+001,9.00193144431714e+001
1.19124200802740e+001,2.25163544751777e+001,9.00194931594932e+001
1.20226443461744e+001,2.24363535798575e+001,9.00196735295122e+001
1.21338885046501e+001,2.23563526678920e+001,9.00198555685315e+001
1.22461619926508e+001,2.22763517389716e+001,9.00200392919957e+001
1.23594743344454e+001,2.21963507927812e+001,9.00202247154924e+001
1.24738351424297e+001,2.21163498289997e+001,9.00204118547536e+001
1.25892541179420e+001,2.20363488473001e+001,9.00206007256567e+001
1.27057410520857e+001,2.19563478473492e+001,9.00207913442262e+001
1.28233058265605e+001,2.18763468288078e+001,9.00209837266349e+001
1.29419584145002e+001,2.17963457913301e+001,9.00211778892052e+001
1.30617088813187e+001,2.17163447345641e+001,9.00213738484109e+001
1.31825673855644e+001,2.16363436581513e+001,9.00215716208779e+001
1.33045441797813e+001,2.15563425617263e+001,9.00217712233861e+001
1.34276496113790e+001,2.14763414449171e+001,9.00219726728709e+001
1.35518941235107e+001,2.13963403073447e+001,9.00221759864242e+001
1.36772882559588e+001,2.13163391486231e+001,9.00223811812963e+001
1.38038426460292e+001,2.12363379683592e+001,9.00225882748971e+001
1.39315680294534e+001,2.11563367661523e+001,9.00227972847978e+001
1.40604752412995e+001,2.10763355415946e+001,9.00230082287319e+001
1.41905752168913e+001,2.09963342942704e+001,9.00232211245974e+001
1.43218789927358e+001,2.09163330237566e+001,9.00234359904579e+001
1.44543977074597e+001,2.08363317296220e+001,9.00236528445440e+001
1.45881426027539e+001,2.07563304114275e+001,9.00238717052554e+001
1.47231250243276e+001,2.06763290687256e+001,9.00240925911619e+001
1.48593564228705e+001,2.05963277010609e+001,9.00243155210052e+001
1.49968483550241e+001,2.05163263079692e+001,9.00245405137006e+001
1.51356124843625e+001,2.04363248889777e+001,9.00247675883384e+001
1.52756605823811e+001,2.03563234436050e+001,9.00249967641858e+001
1.54170045294960e+001,2.02763219713606e+001,9.00252280606881e+001
1.55596563160512e+001,2.01963204717448e+001,9.00254614974708e+001
1.57036280433360e+001,2.01163189442488e+001,9.00256970943410e+001
1.58489319246116e+001,2.00363173883543e+001,9.00259348712893e+001
1.59955802861471e+001,1.99563158035333e+001,9.00261748484912e+001
1.61435855682653e+001,1.98763141892480e+001,9.00264170463091e+001
1.62929603263977e+001,1.97963125449505e+001,9.00266614852939e+001
1.64437172321498e+001,1.97163108700830e+001,9.00269081861866e+001
1.65958690743761e+001,1.96363091640770e+001,9.00271571699204e+001
1.67494287602648e+001,1.95563074263537e+001,9.00274084576224e+001
1.69044093164331e+001,1.94763056563234e+001,9.00276620706149e+001
1.70608238900317e+001,1.93963038533853e+001,9.00279180304181e+001
1.72186857498606e+001,1.93163020169278e+001,9.00281763587511e+001
1.73780082874943e+001,1.92363001463275e+001,9.00284370775342e+001
1.75388050184181e+001,1.91562982409499e+001,9.00287002088907e+001
1.77010895831747e+001,1.90762963001481e+001,9.00289657751487e+001
1.78648757485210e+001,1.89962943232638e+001,9.00292337988430e+001
1.80301774085962e+001,1.89162923096259e+001,9.00295043027170e+001
1.81970085861004e+001,1.88362902585513e+001,9.00297773097248e+001
1.83653834334840e+001,1.87562881693439e+001,9.00300528430331e+001
1.85353162341487e+001,1.86762860412947e+001,9.00303309260229e+001
1.87068214036586e+001,1.85962838736815e+001,9.00306115822919e+001
1.88799134909635e+001,1.85162816657689e+001,9.00308948356561e+001
1.90546071796330e+001,1.84362794168076e+001,9.00311807101522e+001
1.92309172891022e+001,1.83562771260344e+001,9.00314692300395e+001
1.94088587759284e+001,1.82762747926719e+001,9.00317604198017e+001
1.95884467350605e+001,1.81962724159283e+001,9.00320543041495e+001
1.97696964011192e+001,1.81162699949971e+001,9.00323509080223e+001
1.99526231496894e+001,1.80362675290568e+001,9.00326502565904e+001
2.01372424986245e+001,1.79562650172705e+001,9.00329523752574e+001
2.03235701093628e+001,1.78762624587859e+001,9.00332572896618e+001
2.05116217882563e+001,1.77962598527347e+001,9.00335650256799e+001
2.07014134879111e+001,1.77162571982327e+001,9.00338756094275e+001
2.08929613085410e+001,1.76362544943789e+001,9.00341890672621e+001
2.10862814993335e+001,1.75562517402559e+001,9.00345054257856e+001
2.12813904598278e+001,1.74762489349291e+001,9.00348247118461e+001
2.14783047413060e+001,1.73962460774464e+001,9.00351469525403e+001
2.16770410481976e+001,1.73162431668382e+001,9.00354721752161e+001
2.18776162394962e+001,1.72362402021168e+001,9.00358004074744e+001
2.20800473301897e+001,1.71562371822761e+001,9.00361316771719e+001
2.22843514927037e+001,1.70762341062913e+001,9.00364660124234e+001
2.24905460583585e+001,1.69962309731186e+001,9.00368034416040e+001
2.26986485188389e+001,1.69162277816947e+001,9.00371439933515e+001
2.29086765276785e+001,1.68362245309366e+001,9.00374876965693e+001
2.31206479017567e+001,1.67562212197412e+001,9.00378345804282e+001
2.33345806228108e+001,1.66762178469848e+001,9.00381846743695e+001
2.35504928389608e+001,1.65962144115229e+001,9.00385380081070e+001
2.37684028662495e+001,1.65162109121896e+001,9.00388946116298e+001
2.39883291901957e+001,1.64362073477974e+001,9.00392545152050e+001
2.42102904673626e+001,1.63562037171367e+001,9.00396177493798e+001
2.44343055269405e+001,1.62762000189755e+001,9.00399843449847e+001
2.46603933723442e+001,1.61961962520588e+001,9.00403543331356e+001
2.48885731828247e+001,1.61161924151082e+001,9.00407277452367e+001
2.51188643150966e+001,1.60361885068216e+001,9.00411046129832e+001
2.53512863049799e+001,1.59561845258728e+001,9.00414849683641e+001
2.55858588690573e+001,1.58761804709108e+001,9.00418688436645e+001
2.58226019063468e+001,1.57961763405596e+001,9.00422562714689e+001
2.60615354999898e+001,1.57161721334174e+001,9.00426472846635e+001
2.63026799189547e+001,1.56361678480565e+001,9.00430419164395e+001
2.65460556197563e+001,1.55561634830227e+001,9.00434402002954e+001
2.67916832481912e+001,1.54761590368347e+001,9.00438421700402e+001
2.70395836410893e+001,1.53961545079835e+001,9.00442478597961e+001
2.72897778280813e+001,1.53161498949324e+001,9.00446573040019e+001
2.75422870333826e+001,1.52361451961157e+001,9.00450705374150e+001
2.77971326775938e+001,1.51561404099390e+001,9.00454875951153e+001
2.80543363795181e+001,1.50761355347780e+001,9.00459085125077e+001
2.83139199579947e+001,1.49961305689781e+001,9.00463333253252e+001
2.85759054337504e+001,1.49161255108544e+001,9.00467620696321e+001
2.88403150312670e+001,1.48361203586901e+001,9.00471947818268e+001
2.91071711806670e+001,1.47561151107368e+001,9.00476314986452e+001
2.93764965196163e+001,1.46761097652137e+001,9.00480722571637e+001
2.96483138952444e+001,1.45961043203065e+001,9.00485170948023e+001
2.99226463660829e+001,1.45160987741675e+001,9.00489660493280e+001
3.01995172040212e+001,1.44360931249145e+001,9.00494191588579e+001
3.04789498962809e+001,1.43560873706304e+001,9.00498764618622e+001
3.07609681474082e+001,1.42760815093623e+001,9.00503379971682e+001
3.10455958812846e+001,1.41960755391211e+001,9.00508038039628e+001
3.13328572431569e+001,1.41160694578807e+001,9.00512739217964e+001
3.16227766016849e+001,1.40360632635773e+001,9.00517483905860e+001
3.19153785510087e+001,1.39560569541088e+001,9.00522272506189e+001
3.22106879128355e+001,1.38760505273338e+001,9.00527105425557e+001
3.25087297385446e+001,1.37960439810715e+001,9.00531983074343e+001
3.28095293113131e+001,1.37160373131000e+001,9.00536905866730e+001
3.31131121482603e+001,1.36360305211566e+001,9.00541874220742e+001
3.34195040026126e+001,1.35560236029362e+001,9.00546888558281e+001
3.37287308658881e+001,1.34760165560909e+001,9.00551949305161e+001
3.40408189701013e+001,1.33960093782292e+001,9.00557056891145e+001
3.43557947899887e+001,1.33160020669151e+001,9.00562211749984e+001
3.46736850452544e+001,1.32359946196674e+001,9.00567414319449e+001
3.49945167028370e+001,1.31559870339585e+001,9.00572665041375e+001
3.53183169791970e+001,1.30759793072141e+001,9.00577964361694e+001
3.56451133426257e+001,1.29959714368119e+001,9.00583312730476e+001
3.59749335155755e+001,1.29159634200809e+001,9.00588710601965e+001
3.63078054770114e+001,1.28359552543002e+001,9.00594158434621e+001
3.66437574647847e+001,1.27559469366986e+001,9.00599656691157e+001
3.69828179780280e+001,1.26759384644532e+001,9.00605205838579e+001
3.73250157795734e+001,1.25959298346887e+001,9.00610806348228e+001
3.76703798983923e+001,1.25159210444763e+001,9.00616458695816e+001
3.80189396320575e+001,1.24359120908327e+001,9.00622163361473e+001
3.83707245492293e+001,1.23559029707191e+001,9.00627920829784e+001
3.87257644921631e+001,1.22758936810403e+001,9.00633731589830e+001
3.90840895792416e+001,1.21958842186435e+001,9.00639596135234e+001
3.94457302075293e+001,1.21158745803172e+001,9.00645514964199e+001
3.98107170553512e+001,1.20358647627903e+001,9.00651488579553e+001
4.01790810848955e+001,1.19558547627308e+001,9.00657517488793e+001
4.05508535448399e+001,1.18758445767447e+001,9.00663602204128e+001
4.09260659730026e+001,1.17958342013750e+001,9.00669743242521e+001
4.13047501990177e+001,1.17158236331002e+001,9.00675941125735e+001
4.16869383470351e+001,1.16358128683336e+001,9.00682196380381e+001
4.20726628384460e+001,1.15558019034217e+001,9.00688509537957e+001
4.24619563946329e+001,1.14757907346428e+001,9.00694881134899e+001
4.28548520397456e+001,1.13957793582064e+001,9.00701311712623e+001
4.32513831035025e+001,1.13157677702513e+001,9.00707801817578e+001
4.36515832240183e+001,1.12357559668445e+001,9.00714352001284e+001
4.40554863506570e+001,1.11557439439798e+001,9.00720962820388e+001
4.44631267469126e+001,1.10757316975765e+001,9.00727634836706e+001
4.48745389933149e+001,1.09957192234783e+001,9.00734368617277e+001
4.52897579903638e+001,1.09157065174513e+001,9.00741164734406e+001
4.57088189614893e+001,1.08356935751828e+001,9.00748023765716e+001
4.61317574560397e+001,1.07556803922802e+001,9.00754946294200e+001
4.65586093522977e+001,1.06756669642691e+001,9.00761932908269e+001
4.69894108605234e+001,1.05956532865916e+001,9.00768984201800e+001
4.74241985260263e+001,1.05156393546055e+001,9.00776100774195e+001
4.78630092322657e+001,1.04356251635819e+001,9.00783283230426e+001
4.83058802039792e+001,1.03556107087042e+001,9.00790532181088e+001
4.87528490103405e+001,1.02755959850660e+001,9.00797848242455e+001
